continente,year,energia_TWh
Europe,2022,28946.579999999998
Oceania,1965,510.98
Oceania,1966,536.65
Oceania,1967,564.43
Oceania,1968,595.17
Oceania,1969,617.51
Oceania,1970,675.9100000000001
Oceania,1971,709.6099999999999
Oceania,1972,744.34
Oceania,1973,792.34
Oceania,1974,836.54
Oceania,1975,850.51
Oceania,1976,879.95
Oceania,1977,919.53
Oceania,1978,943.46
Oceania,1979,975.3199999999999
Oceania,1980,978.54
Oceania,1981,992.48
Oceania,1982,989.0699999999999
Oceania,1983,986.2
Oceania,1984,1024.62
Oceania,1985,1050.71
Oceania,1986,1078.82
Oceania,1987,1105.78
Oceania,1988,1156.55
Oceania,1989,1208.95
Oceania,1990,1237.52
Oceania,1991,1234.13
Oceania,1992,1250.92
Oceania,1993,1280.69
Oceania,1994,1332.69
Oceania,1995,1369.21
Oceania,1996,1406.13
Oceania,1997,1435.31
Oceania,1998,1464.35
Oceania,1999,1517.28
Oceania,2000,1534.82
Oceania,2001,1542.8700000000001
Oceania,2002,1577.04
Oceania,2003,1588.9299999999998
Oceania,2004,1639.1200000000001
Oceania,2005,1639.11
Oceania,2006,1701.1
Oceania,2007,1735.6200000000001
Oceania,2008,1761.85
Oceania,2009,1739.06
Oceania,2010,1743.9699999999998
Oceania,2011,1794.6899999999998
Oceania,2012,1773.9599999999998
Oceania,2013,1795.1599999999999
Oceania,2014,1817.13
Oceania,2015,1853.8500000000001
Oceania,2016,1862.5700000000002
Oceania,2017,1861.86
Oceania,2018,1884.3600000000001
Oceania,2019,1943.85
Oceania,2020,1824.71
Oceania,2021,1825.1699999999998
Oceania,2022,1893.5
